name,description,height,weight,gender,category,abilities,type,weakness
Drifblim,"The raw material for the gas inside its body is souls. When its body starts to deflate, it's thought to carry away people and Pokémon.","3' 11""",33.1 lbs,,Blimp,Aftermath,"Ghost,Flying","Ghost,Dark,Electric,Ice,Rock"
Buneary,The reason it keeps one ear rolled up is so it can launch a swift counterattack if it's attacked by an enemy.,"1' 04""",12.1 lbs,,Rabbit,Run Away,Normal,Fighting
Lopunny,"It's notably wary and has a dislike of fighting, but at the same time, it can deliver powerful kicks with its lithe legs.","3' 11""",73.4 lbs,,Rabbit,Cute Charm,Normal,Fighting
Mismagius,Its muttered curses can cause awful headaches or terrifying visions that torment others.,"2' 11""",9.7 lbs,,Magical,Levitate,Ghost,"Ghost,Dark"
Honchkrow,Its goons take care of most of the fighting for it. The only time it dirties its own hands is in delivering a final blow to finish off an opponent.,"2' 11""",60.2 lbs,,Big Boss,Insomnia,"Dark,Flying","Fairy,Electric,Ice,Rock"
Glameow,"When it's happy, Glameow demonstrates beautiful movements of its tail, like a dancing ribbon.","1' 08""",8.6 lbs,,Catty,Limber,Normal,Fighting
Purugly,"To make itself appear intimidatingly beefy, it tightly cinches its waist with its twin tails.","3' 03""",96.6 lbs,,Tiger Cat,Own Tempo,Normal,Fighting
Chingling,"There is an orb inside its mouth. When it hops, the orb bounces all over and makes a ringing sound.","0' 08""",1.3 lbs,,Bell,Levitate,Psychic,"Ghost,Dark,Bug"
Stunky,It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.,"1' 04""",42.3 lbs,,Skunk,Stench,"Poison,Dark",Ground
Skuntank,It sprays a stinky fluid from its tail. The fluid smells worse the longer it is allowed to fester.,"3' 03""",83.8 lbs,,Skunk,Stench,"Poison,Dark",Ground
Bronzor,Implements shaped like it were discovered in ancient tombs. It is unknown if they are related.,"1' 08""",133.4 lbs,"
    Unknown
                ",Bronze,Levitate,"Steel,Psychic","Ghost,Fire,Dark,Ground"
Bronzong,Ancient people believed that petitioning Bronzong for rain was the way to make crops grow.,"4' 03""",412.3 lbs,"
    Unknown
                ",Bronze Bell,Levitate,"Steel,Psychic","Ghost,Fire,Dark,Ground"
Bonsly,"If its body gets too damp, it will die. So, in a process reminiscent of sweating, its eyes expel moisture.","1' 08""",33.1 lbs,,Bonsai,Rock Head,Rock,"Water,Steel,Grass,Fighting,Ground"
Mime,"When this gifted mimic surprises an opponent, Mime Jr. feels so happy that it ends up forgetting it was imitating something.","2' 00""",28.7 lbs,,Mime,Soundproof,"Psychic,Fairy","Ghost,Steel,Poison"
Happiny,"When it sees something round and white, Happiny puts it into the pouch on its stomach. It sometimes becomes overloaded and can't move.","2' 00""",53.8 lbs,,Playhouse,Natural Cure,Normal,Fighting
Chatot,"It can learn and speak human words. If they gather, they all learn the same saying.","1' 08""",4.2 lbs,,Music Note,Keen Eye,"Normal,Flying","Electric,Ice,Rock"
Spiritomb,It was bound to a fissure in an odd keystone as punishment for misdeeds 500 years ago.,"3' 03""",238.1 lbs,,Forbidden,Pressure,"Ghost,Dark",Fairy
Gible,"Its original home is an area much hotter than Alola. If you're planning to live with one, your heating bill will soar.","2' 04""",45.2 lbs,,Land Shark,Sand Veil,"Dragon,Ground","Fairy,Ice,Dragon"
Gabite,It sheds its skin and gradually grows larger. Its scales can be ground into a powder and used as raw materials for traditional medicine.,"4' 07""",123.5 lbs,,Cave,Sand Veil,"Dragon,Ground","Fairy,Ice,Dragon"
Garchomp,Its fine scales don't just reduce wind resistance—their sharp edges also cause injury to any opponent who attacks it.,"6' 03""",209.4 lbs,,Mach,Sand Veil,"Dragon,Ground","Fairy,Ice,Dragon"
Munchlax,"Anything that looks edible, Munchlax will go on and swallow whole. Its stomach is tough enough to handle it even if the food has gone rotten.","2' 00""",231.5 lbs,,Big Eater,Pickup,Normal,Fighting
Riolu,"It uses waves called auras to communicate with others of its kind. It doesn't make any noise during this time, so its enemies can't detect it.","2' 04""",44.5 lbs,,Emanation,Inner Focus,Fighting,"Psychic,Flying,Fairy"
Lucario,"Lucario reads its opponent's feelings with its aura waves. It finds out things it would rather not know, so it gets stressed out easily.","3' 11""",119.0 lbs,,Aura,Inner Focus,"Fighting,Steel","Fire,Fighting,Ground"
Hippopotas,It enshrouds itself with sand to protect itself from germs. It does not enjoy getting wet.,"2' 07""",109.1 lbs,,Hippo,Sand Stream,Ground,"Water,Grass,Ice"
Hippowdon,It blasts internally stored sand from ports on its body to create a towering twister for attack.,"6' 07""",661.4 lbs,,Heavyweight,Sand Stream,Ground,"Water,Grass,Ice"
Skorupi,It burrows under the sand to lie in wait for prey. Its tail claws can inject its prey with a savage poison.,"2' 07""",26.5 lbs,,Scorpion,Sniper,"Poison,Bug","Fire,Psychic,Flying,Rock"
Drapion,It has the power in its clawed arms to make scrap of a car. The tips of its claws release poison.,"4' 03""",135.6 lbs,,Ogre Scorpion,Sniper,"Poison,Dark",Ground
Croagunk,"Inflating its poison sacs, it fills the area with an odd sound and hits flinching opponents with a poison jab.","2' 04""",50.7 lbs,,Toxic Mouth,Dry Skin,"Poison,Fighting","Psychic,Flying,Ground"
Toxicroak,Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.,"4' 03""",97.9 lbs,,Toxic Mouth,Dry Skin,"Poison,Fighting","Psychic,Flying,Ground"
Carnivine,It binds itself to trees in marshes. It attracts prey with its sweet-smelling drool and gulps them down.,"4' 07""",59.5 lbs,,Bug Catcher,Levitate,Grass,"Fire,Flying,Ice,Poison,Bug"
Finneon,It lures in prey with its shining tail fins. It stays near the surface during the day and moves to the depths when night falls.,"1' 04""",15.4 lbs,,Wing Fish,Swift Swim,Water,"Grass,Electric"
Lumineon,They traverse the deep waters as if crawling over the seafloor. The fantastic lights of its fins shine like stars in the night sky.,"3' 11""",52.9 lbs,,Neon,Swift Swim,Water,"Grass,Electric"
Mantyke,Mantyke are friendly toward people and will approach boats closely. The patterns on their backs differ depending on their habitat.,"3' 03""",143.3 lbs,,Kite,Water Absorb,"Water,Flying","Electric,Rock"
Snover,"In the spring, it grows berries with the texture of frozen treats around its belly.","3' 03""",111.3 lbs,,Frost Tree,Snow Warning,"Grass,Ice","Steel,Fire,Flying,Poison,Fighting,Rock,Bug"
Abomasnow,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.,"7' 03""",298.7 lbs,,Frost Tree,Snow Warning,"Grass,Ice","Steel,Fire,Flying,Poison,Fighting,Rock,Bug"
Weavile,"Thanks to its increased intelligence, scrapping over food is a thing of the past. A scratch from its claws will give you a case of frostbite!","3' 07""",75.0 lbs,,Sharp Claw,Pressure,"Dark,Ice","Steel,Fire,Fighting,Rock,Fairy,Bug"
Magnezone,There are still people who believe that this Pokémon came from outer space. It emanates a powerful magnetic field.,"3' 11""",396.8 lbs,"
    Unknown
                ",Magnet Area,Sturdy,"Electric,Steel","Fire,Fighting,Ground"
Lickilicky,It uses its tongue much more skillfully than its hands or its feet. It can deftly pick up a single small bean with its tongue.,"5' 07""",308.6 lbs,,Licking,Oblivious,Normal,Fighting
Rhyperior,It puts rocks in holes in its palms and uses its muscles to shoot them. Geodude are shot at rare times.,"7' 10""",623.5 lbs,,Drill,Lightning Rod,"Ground,Rock","Steel,Ice,Water,Fighting,Grass,Ground"
Tangrowth,"Its vines grow so profusely that, in the warm season, you can't even see its eyes.","6' 07""",283.5 lbs,,Vine,Chlorophyll,Grass,"Fire,Flying,Ice,Poison,Bug"
Electivire,A single Electivire can provide enough electricity for all the buildings in a big city for a year.,"5' 11""",305.6 lbs,,Thunderbolt,Motor Drive,Electric,Ground
Magmortar,"Magmortar takes down its enemies by shooting fireballs, which burn them to a blackened crisp. It avoids this method when hunting prey.","5' 03""",149.9 lbs,,Blast,Flame Body,Fire,"Water,Ground,Rock"
Togekiss,It shares many blessings with people who respect one another's rights and avoid needless strife.,"4' 11""",83.8 lbs,,Jubilee,Serene Grace,"Fairy,Flying","Steel,Poison,Electric,Ice,Rock"
Yanmega,This six-legged Pokémon is easily capable of transporting an adult in flight. The wings on its tail help it stay balanced.,"6' 03""",113.5 lbs,,Ogre Darner,Tinted Lens,"Bug,Flying","Fire,Flying,Electric,Ice,Rock"
Leafeon,It gets its nutrition from photosynthesis. It lives a quiet life deep in forests where clean rivers flow.,"3' 03""",56.2 lbs,,Verdant,Leaf Guard,Grass,"Fire,Flying,Ice,Poison,Bug"
Glaceon,"It can instantaneously freeze any moisture that's around it, creating ice pellets to shoot at its prey.","2' 07""",57.1 lbs,,Fresh Snow,Snow Cloak,Ice,"Fire,Steel,Fighting,Rock"
Gliscor,Its flight is soundless. It uses its lengthy tail to carry off its prey... Then its elongated fangs do the rest.,"6' 07""",93.7 lbs,,Fang Scorpion,Sand Veil,"Ground,Flying","Water,Ice"
Mamoswine,Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.,"8' 02""",641.5 lbs,,Twin Tusk,Oblivious,"Ice,Ground","Steel,Fire,Grass,Water,Fighting"
Porygon-Z,"A faulty update was added to its programming. Its behavior is noticeably strange, so the experiment may have been a failure.","2' 11""",75.0 lbs,"
    Unknown
                ",Virtual,Adaptability,Normal,Fighting
Gallade,"A master of courtesy and swordsmanship, it fights using extending swords on its elbows.","5' 03""",114.6 lbs,,Blade,Steadfast,"Psychic,Fighting","Ghost,Fairy,Flying"
Probopass,It uses three small units to catch prey and battle enemies. The main body mostly just gives orders.,"4' 07""",749.6 lbs,,Compass,Sturdy,"Rock,Steel","Water,Fighting,Ground"
Dusknoir,The antenna on its head captures radio waves from the world of spirits that command it to take people there.,"7' 03""",235.0 lbs,,Gripper,Pressure,Ghost,"Ghost,Dark"
Froslass,"It's said that on nights of terrible blizzards, it comes down to human settlements. If you hear it knocking at your door, do not open it!","4' 03""",58.6 lbs,,Snow Land,Snow Cloak,"Ice,Ghost","Steel,Ghost,Fire,Dark,Rock"
Rotom,Its body is composed of plasma. It is known to infiltrate electronic devices and wreak havoc.,"1' 00""",0.7 lbs,"
    Unknown
                ",Plasma,Levitate,"Electric,Ghost","Ghost,Dark,Ground"
Uxie,It is said that its emergence gave humans the intelligence to improve their quality of life.,"1' 00""",0.7 lbs,"
    Unknown
                ",Knowledge,Levitate,Psychic,"Ghost,Dark,Bug"
Mesprit,It sleeps at the bottom of a lake. Its spirit is said to leave its body to fly on the lake's surface.,"1' 00""",0.7 lbs,"
    Unknown
                ",Emotion,Levitate,Psychic,"Ghost,Dark,Bug"
Azelf,"It is thought that Uxie, Mesprit, and Azelf all came from the same egg.","1' 00""",0.7 lbs,"
    Unknown
                ",Willpower,Levitate,Psychic,"Ghost,Dark,Bug"
Dialga,It has the power to control time. It appears in Sinnoh-region myths as an ancient deity.,"17' 09""",1505.8 lbs,"
    Unknown
                ",Temporal,Pressure,"Steel,Dragon","Fighting,Ground"
Palkia,It has the ability to distort space. It is described as a deity in Sinnoh-region mythology.,"13' 09""",740.8 lbs,"
    Unknown
                ",Spatial,Pressure,"Water,Dragon","Fairy,Dragon"
Heatran,"Boiling blood, like magma, circulates through its body. It makes its dwelling place in volcanic caves.","5' 07""",948.0 lbs,,Lava Dome,Flash Fire,"Fire,Steel","Water,Fighting,Ground"
Regigigas,There is an enduring legend that states this Pokémon towed continents with ropes.,"12' 02""",925.9 lbs,"
    Unknown
                ",Colossal,Slow Start,Normal,Fighting
Giratina,It was banished for its violence. It silently gazed upon the old world from the Distortion World.,"14' 09""",1653.5 lbs,"
    Unknown
                ",Renegade,Pressure,"Ghost,Dragon","Ghost,Dark,Fairy,Ice,Dragon"
Cresselia,Those who sleep holding Cresselia's feather are assured of joyful dreams. It is said to represent the crescent moon.,"4' 11""",188.7 lbs,,Lunar,Levitate,Psychic,"Ghost,Dark,Bug"
Phione,"It drifts in warm seas. It always returns to where it was born, no matter how far it may have drifted.","1' 04""",6.8 lbs,"
    Unknown
                ",Sea Drifter,Hydration,Water,"Grass,Electric"
Manaphy,It starts its life with a wondrous power that permits it to bond with any kind of Pokémon.,"1' 00""",3.1 lbs,"
    Unknown
                ",Seafaring,Hydration,Water,"Grass,Electric"
Darkrai,It can lull people to sleep and make them dream. It is active during nights of the new moon.,"4' 11""",111.3 lbs,"
    Unknown
                ",Pitch-Black,Bad Dreams,Dark,"Fairy,Bug,Fighting"
Shaymin,The blooming of Gracidea flowers confers the power of flight upon it. Feelings of gratitude are the message it delivers.,"0' 08""",4.6 lbs,"
    Unknown
                ",Gratitude,Natural Cure,Grass,"Fire,Flying,Ice,Poison,Bug"
Arceus,It is told in mythology that this Pokémon was born before the universe even existed.,"10' 06""",705.5 lbs,"
    Unknown
                ",Alpha,Multitype,Normal,Fighting
Victini,"When it shares the infinite energy it creates, that being's entire body will be overflowing with power.","1' 04""",8.8 lbs,"
    Unknown
                ",Victory,Victory Star,"Psychic,Fire","Ghost,Water,Ground,Dark,Rock"
Snivy,"They photosynthesize by bathing their tails in sunlight. When they are not feeling well, their tails droop.","2' 00""",17.9 lbs,,Grass Snake,Overgrow,Grass,"Fire,Flying,Ice,Poison,Bug"
Servine,"When it gets dirty, its leaves can't be used in photosynthesis, so it always keeps itself clean.","2' 07""",35.3 lbs,,Grass Snake,Overgrow,Grass,"Fire,Flying,Ice,Poison,Bug"
Serperior,It can stop its opponents' movements with just a glare. It takes in solar energy and boosts it internally.,"10' 10""",138.9 lbs,,Regal,Overgrow,Grass,"Fire,Flying,Ice,Poison,Bug"
Tepig,"It loves to eat roasted berries, but sometimes it gets too excited and burns them to a crisp.","1' 08""",21.8 lbs,,Fire Pig,Blaze,Fire,"Water,Ground,Rock"
Pignite,"When its internal fire flares up, its movements grow sharper and faster. When in trouble, it emits smoke.","3' 03""",122.4 lbs,,Fire Pig,Blaze,"Fire,Fighting","Water,Psychic,Flying,Ground"
Emboar,It has mastered fast and powerful fighting moves. It grows a beard of fire.,"5' 03""",330.7 lbs,,Mega Fire Pig,Blaze,"Fire,Fighting","Water,Psychic,Flying,Ground"
Oshawott,"It fights using the scalchop on its stomach. In response to an attack, it retaliates immediately by slashing.","1' 08""",13.0 lbs,,Sea Otter,Torrent,Water,"Grass,Electric"
Dewott,"As a result of strict training, each Dewott learns different forms for using the scalchops.","2' 07""",54.0 lbs,,Discipline,Torrent,Water,"Grass,Electric"
Samurott,One swing of the sword incorporated in its armor can fell an opponent. A simple glare from one of them quiets everybody.,"4' 11""",208.6 lbs,,Formidable,Torrent,Water,"Grass,Electric"
Patrat,"Extremely cautious, one of them will always be on the lookout, but it won't notice a foe coming from behind.","1' 08""",25.6 lbs,,Scout,Keen Eye,Normal,Fighting
Watchog,"When they see an enemy, their tails stand high, and they spit the seeds of berries stored in their cheek pouches.","3' 07""",59.5 lbs,,Lookout,Keen Eye,Normal,Fighting
Lillipup,"This Pokémon is popular with beginners because it's intelligent, obedient to its Trainer's commands, and easy to raise.","1' 04""",9.0 lbs,,Puppy,Pickup,Normal,Fighting
Herdier,"It has been living with people for so long that portrayals of it can be found on the walls of caves from long, long ago.","2' 11""",32.4 lbs,,Loyal Dog,Intimidate,Normal,Fighting
Stoutland,"Its fur is long and thick. A long time ago in cold regions, every household kept a Stoutland.","3' 11""",134.5 lbs,,Big-Hearted,Intimidate,Normal,Fighting
Purrloin,"They steal from people for fun, but their victims can't help but forgive them. Their deceptively cute act is perfect.","1' 04""",22.3 lbs,,Devious,Limber,Dark,"Fairy,Bug,Fighting"
Liepard,"Stealthily, it sneaks up on its target, striking from behind before its victim has a chance to react.","3' 07""",82.7 lbs,,Cruel,Limber,Dark,"Fairy,Bug,Fighting"
Pansage,It's good at finding berries and gathers them from all over. It's kind enough to share them with friends.,"2' 00""",23.1 lbs,,Grass Monkey,Gluttony,Grass,"Fire,Flying,Ice,Poison,Bug"
Simisage,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter.","3' 07""",67.2 lbs,,Thorn Monkey,Gluttony,Grass,"Fire,Flying,Ice,Poison,Bug"
Pansear,This Pokémon lives in caves in volcanoes. The fire within the tuft on its head can reach 600 degrees Fahrenheit.,"2' 00""",24.3 lbs,,High Temp,Gluttony,Fire,"Water,Ground,Rock"
Simisear,"When it gets excited, embers rise from its head and tail and it gets hot. For some reason, it loves sweets.","3' 03""",61.7 lbs,,Ember,Gluttony,Fire,"Water,Ground,Rock"
Panpour,The water stored inside the tuft on its head is full of nutrients. Plants that receive its water grow large.,"2' 00""",29.8 lbs,,Spray,Gluttony,Water,"Grass,Electric"
Simipour,"It prefers places with clean water. When its tuft runs low, it replenishes it by siphoning up water with its tail.","3' 03""",63.9 lbs,,Geyser,Gluttony,Water,"Grass,Electric"
Munna,"It eats the dreams of people and Pokémon. When it eats a pleasant dream, it expels pink-colored mist.","2' 00""",51.4 lbs,,Dream Eater,Synchronize,Psychic,"Ghost,Dark,Bug"
Musharna,The dream mist coming from its forehead changes into many different colors depending on the dream that was eaten.,"3' 07""",133.4 lbs,,Drowsing,Synchronize,Psychic,"Ghost,Dark,Bug"
Pidove,These Pokémon live in cities. They are accustomed to people. Flocks often gather in parks and plazas.,"1' 00""",4.6 lbs,,Tiny Pigeon,Super Luck,"Normal,Flying","Electric,Ice,Rock"
Tranquill,"No matter where in the world it goes, it knows where its nest is, so it never gets separated from its Trainer.","2' 00""",33.1 lbs,,Wild Pigeon,Super Luck,"Normal,Flying","Electric,Ice,Rock"
Unfezant,Males have plumage on their heads. They will never let themselves feel close to anyone other than their Trainers.,"3' 11""",63.9 lbs,,Proud,Super Luck,"Normal,Flying","Electric,Ice,Rock"
Blitzle,Its mane shines when it discharges electricity. They use the frequency and rhythm of these flashes to communicate.,"2' 07""",65.7 lbs,,Electrified,Lightning Rod,Electric,Ground
Zebstrika,"They have lightning-like movements. When Zebstrika run at full speed, the sound of thunder reverberates.","5' 03""",175.3 lbs,,Thunderbolt,Lightning Rod,Electric,Ground
Roggenrola,It was found in a fissure in a layer of exposed rock. The material that makes up its body is dirt from several hundred years ago.,"1' 04""",39.7 lbs,,Mantle,Sturdy,Rock,"Water,Steel,Grass,Fighting,Ground"
Boldore,"Its orange crystals are lumps of powerful energy. They're valuable, so Boldore is sometimes targeted for them.","2' 11""",224.9 lbs,,Ore,Sturdy,Rock,"Water,Steel,Grass,Fighting,Ground"
Gigalith,It absorbs rays of sunlight and shoots out energy. It's usually lurking deep beneath the surface.,"5' 07""",573.2 lbs,,Compressed,Sturdy,Rock,"Water,Steel,Grass,Fighting,Ground"
Woobat,The heart-shaped mark left on a body after a Woobat has been attached to it is said to bring good fortune.,"1' 04""",4.6 lbs,,Bat,Unaware,"Psychic,Flying","Ghost,Dark,Electric,Ice,Rock"
Swoobat,Anyone who comes into contact with the ultrasonic waves emitted by a courting male experiences a positive mood shift.,"2' 11""",23.1 lbs,,Courting,Unaware,"Psychic,Flying","Ghost,Dark,Electric,Ice,Rock"
Drilbur,"By spinning its body, it can dig straight through the ground at a speed of 30 mph.","1' 00""",18.7 lbs,,Mole,Sand Rush,Ground,"Water,Grass,Ice"
Excadrill,"More than 300 feet below the surface, they build mazelike nests. Their activity can be destructive to subway tunnels.","2' 04""",89.1 lbs,,Subterrene,Sand Rush,"Ground,Steel","Fire,Water,Fighting,Ground"
Audino,"It touches others with the feelers on its ears, using the sound of their heartbeats to tell how they are feeling.","3' 07""",68.3 lbs,,Hearing,Healer,Normal,Fighting
Timburr,"Always carrying squared logs, they help out with construction. As they grow, they carry bigger logs.","2' 00""",27.6 lbs,,Muscular,Guts,Fighting,"Psychic,Flying,Fairy"
Gurdurr,This Pokémon is so muscular and strongly built that even a group of wrestlers could not make it budge an inch.,"3' 11""",88.2 lbs,,Muscular,Guts,Fighting,"Psychic,Flying,Fairy"
Conkeldurr,"Rather than rely on force, they master moves that utilize the centrifugal force of spinning concrete.","4' 07""",191.8 lbs,,Muscular,Guts,Fighting,"Psychic,Flying,Fairy"
Tympole,"By vibrating its cheeks, it emits sound waves imperceptible to humans. It uses the rhythm of these sounds to talk.","1' 08""",9.9 lbs,,Tadpole,Hydration,Water,"Grass,Electric"
Palpitoad,"It lives in the water and on land. It uses its long, sticky tongue to immobilize its opponents.","2' 07""",37.5 lbs,,Vibration,Hydration,"Water,Ground",Grass
Seismitoad,They shoot paralyzing liquid from their head bumps. They use vibration to hurt their opponents.,"4' 11""",136.7 lbs,,Vibration,Swift Swim,"Water,Ground",Grass
Throh,"When it encounters a foe bigger than itself, it wants to throw it. It changes belts as it gets stronger.","4' 03""",122.4 lbs,,Judo,Guts,Fighting,"Psychic,Flying,Fairy"
Sawk,Tying their belts gets them pumped and makes their punches more destructive. Disturbing their training angers them.,"4' 07""",112.4 lbs,,Karate,Inner Focus,Fighting,"Psychic,Flying,Fairy"
Sewaddle,"Since this Pokémon makes its own clothes out of leaves, it is a popular mascot for fashion designers.","1' 00""",5.5 lbs,,Sewing,Swarm,"Bug,Grass","Fire,Flying,Ice,Poison,Rock,Bug"
Swadloon,"It protects itself from the cold by wrapping up in leaves. It stays on the move, eating leaves in forests.","1' 08""",16.1 lbs,,Leaf-Wrapped,Chlorophyll,"Bug,Grass","Fire,Flying,Ice,Poison,Rock,Bug"
Leavanny,It keeps its eggs warm with heat from fermenting leaves. It also uses leaves to make warm wrappings for Sewaddle.,"3' 11""",45.2 lbs,,Nurturing,Swarm,"Bug,Grass","Fire,Flying,Ice,Poison,Rock,Bug"
Venipede,"Its bite injects a potent poison, enough to paralyze large bird Pokémon that try to prey on it.","1' 04""",11.7 lbs,,Centipede,Swarm,"Bug,Poison","Fire,Psychic,Flying,Rock"
Whirlipede,"It is usually motionless, but when attacked, it rotates at high speed and then crashes into its opponent.","3' 11""",129.0 lbs,,Curlipede,Swarm,"Bug,Poison","Fire,Psychic,Flying,Rock"
Scolipede,"With quick movements, it chases down its foes, attacking relentlessly with its horns until it prevails.","8' 02""",442.0 lbs,,Megapede,Swarm,"Bug,Poison","Fire,Psychic,Flying,Rock"
Cottonee,"When attacked, it expels cotton from its body to create a diversion. The cotton it loses grows back in quickly.","1' 00""",1.3 lbs,,Cotton Puff,Prankster,"Grass,Fairy","Steel,Fire,Flying,Ice,Poison"
Whimsicott,"Whimsicott doesn't live in a fixed location. It floats around on whirling winds, appearing all over the place to perform its mischief.","2' 04""",14.6 lbs,,Windveiled,Prankster,"Grass,Fairy","Steel,Fire,Flying,Ice,Poison"
Petilil,"They prefer clean water and soil. When the environment they live in turns bad, the whole bunch will up and move to a new area.","1' 08""",14.6 lbs,,Bulb,Chlorophyll,Grass,"Fire,Flying,Ice,Poison,Bug"
Lilligant,"It's well liked by other Pokémon because of its beauty. The flower on its head needs constant care, or it will soon wither and rot.","3' 07""",35.9 lbs,,Flowering,Chlorophyll,Grass,"Fire,Flying,Ice,Poison,Bug"
Basculin,"When a school of Basculin appears in a lake, everything else disappears, except for Corphish and Crawdaunt. That's how violent Basculin are.","3' 03""",39.7 lbs,,Hostile,Reckless,Water,"Grass,Electric"
Sandile,"Sandile's still not good at hunting, so it mostly eats things that have collapsed in the desert. It's called ""the cleaner of the desert"".","2' 04""",33.5 lbs,,Desert Croc,Intimidate,"Ground,Dark","Ice,Water,Fighting,Fairy,Grass,Bug"
Krokorok,It buries some of its prey in the sand to use as emergency meals when its hunts are unsuccessful.,"3' 03""",73.6 lbs,,Desert Croc,Intimidate,"Ground,Dark","Ice,Water,Fighting,Fairy,Grass,Bug"
Krookodile,It conceals itself in sandstorms that Flygon whip up and waits patiently for prey to appear.,"4' 11""",212.3 lbs,,Intimidation,Intimidate,"Ground,Dark","Ice,Water,Fighting,Fairy,Grass,Bug"
Darumaka,"When it sleeps, it pulls its limbs into its body and its internal fire goes down to 1,100 degrees Fahrenheit.","2' 00""",82.7 lbs,,Zen Charm,Hustle,Fire,"Water,Ground,Rock"
Darmanitan,"Its internal fire burns at 2,500 degrees Fahrenheit, making enough power that it can destroy a dump truck with one punch.","4' 03""",204.8 lbs,,Blazing,Sheer Force,Fire,"Water,Ground,Rock"
Maractus,"Arid regions are their habitat. They move rhythmically, making a sound similar to maracas.","3' 03""",61.7 lbs,,Cactus,Chlorophyll,Grass,"Fire,Flying,Ice,Poison,Bug"
Dwebble,"When it finds a stone of a suitable size, it secretes a liquid from its mouth to open up a hole to crawl into.","1' 00""",32.0 lbs,,Rock Inn,Sturdy,"Bug,Rock","Steel,Water,Rock"
Crustle,"Competing for territory, Crustle fight viciously. The one whose boulder is broken is the loser of the battle.","4' 07""",440.9 lbs,,Stone Home,Sturdy,"Bug,Rock","Steel,Water,Rock"
Scraggy,"It stretches its saggy skin up to its neck to protect itself. The saggier their skin, the more respect they garner.","2' 00""",26.0 lbs,,Shedding,Shed Skin,"Dark,Fighting","Fairy,Flying,Fighting"
Scrafty,It taunts its opponents by spitting. It has a certain territory that it never leaves its whole life long.,"3' 07""",66.1 lbs,,Hoodlum,Shed Skin,"Dark,Fighting","Fairy,Flying,Fighting"
Sigilyph,"The guardians of an ancient city, they always fly the same route while keeping watch for invaders.","4' 07""",30.9 lbs,,Avianoid,Magic Guard,"Psychic,Flying","Ghost,Dark,Electric,Ice,Rock"
Yamask,Each of them carries a mask that used to be its face when it was human. Sometimes they look at it and cry.,"1' 08""",3.3 lbs,,Spirit,Mummy,Ghost,"Ghost,Dark"
Cofagrigus,Grave robbers who mistake them for real coffins and get too close end up trapped inside their bodies.,"5' 07""",168.7 lbs,,Coffin,Mummy,Ghost,"Ghost,Dark"
Tirtouga,"Its hunting grounds encompassed a broad area, from the land to more than half a mile deep in the ocean.","2' 04""",36.4 lbs,,Prototurtle,Sturdy,"Water,Rock","Grass,Electric,Fighting,Ground"
Carracosta,"Carracosta eats every last bit of the prey it catches, even the shells and bones, to further strengthen its sturdy shell.","3' 11""",178.6 lbs,,Prototurtle,Sturdy,"Water,Rock","Grass,Electric,Fighting,Ground"
Archen,"Restored from a fossil, this ancient bird Pokémon has wings but can't yet fly.","1' 08""",20.9 lbs,,First Bird,Defeatist,"Rock,Flying","Steel,Water,Electric,Ice,Rock"
Archeops,"Said to be an ancestor of bird Pokémon, the muscles it uses to flap its wings are still weak, so it needs a long runway in order to take off.","4' 07""",70.5 lbs,,First Bird,Defeatist,"Rock,Flying","Steel,Water,Electric,Ice,Rock"
Trubbish,"If a young Pokémon or child breathes in the toxic gas that Trubbish belches out, it could be a life-threatening situation.","2' 00""",68.3 lbs,,Trash Bag,Stench,Poison,"Psychic,Ground"
Garbodor,"Some say the reason Garbodor in Alola are a little stronger than their counterparts elsewhere is the presence of Muk, their natural enemy.","6' 03""",236.6 lbs,,Trash Heap,Stench,Poison,"Psychic,Ground"
Zorua,"If a normally talkative child suddenly stops talking, it may have been replaced by Zorua.","2' 04""",27.6 lbs,,Tricky Fox,Illusion,Dark,"Fairy,Bug,Fighting"
Zoroark,"If it thinks humans are going to discover its den, Zoroark shows them visions that make them wander around in the woods.","5' 03""",178.8 lbs,,Illusion Fox,Illusion,Dark,"Fairy,Bug,Fighting"
Minccino,"When its tail has gotten dirty from self-cleaning or from cleaning its nest, Minccino spends a whole day washing its tail in clean spring water.","1' 04""",12.8 lbs,,Chinchilla,Cute Charm,Normal,Fighting
Cinccino,"The oil that seeps from its body is really smooth. For people troubled by bad skin, this oil is an effective treatment.","1' 08""",16.5 lbs,,Scarf,Cute Charm,Normal,Fighting
Gothita,"They intently observe both Trainers and Pokémon. Apparently, they are looking at something that only Gothita can see.","1' 04""",12.8 lbs,,Fixation,Frisk,Psychic,"Ghost,Dark,Bug"
Gothorita,"According to many old tales, it creates friends for itself by controlling sleeping children on starry nights.","2' 04""",39.7 lbs,,Manipulate,Frisk,Psychic,"Ghost,Dark,Bug"
Gothitelle,They can predict the future from the placement and movement of the stars. They can see Trainers' life spans.,"4' 11""",97.0 lbs,,Astral Body,Frisk,Psychic,"Ghost,Dark,Bug"
